text,label
Scientists discover new treatment for cancer patients,1
Study shows regular exercise reduces heart disease risk,1
Government releases annual economic report showing growth,1
Breakthrough in renewable energy technology announced,1
New vaccine approved by health authorities,1
Stock market reaches new record high,1
University announces major research initiative,1
International climate summit produces agreements,1
Medical professionals publish peer reviewed study,1
Tech company invests in sustainable energy,1
Global efforts to combat disease show progress,1
Economic indicators suggest stable growth,1
New treatment approved for chronic illness,1
Research team discovers important scientific breakthrough,1
Governments commit to environmental protection,1
Education reform program launches successfully,1
Hospital opens state of the art facility,1
Scientists confirm important discovery,1
Major university receives research grant,1
New safety standards implemented in industry,1
This one weird trick doctors don't want you to know,0
Celebrities secretly control world governments,0
Hidden evidence proves shocking truth,0
Miracles cured with one simple remedy,0
Government hides secret alien technology,0
Click here for shocking revelation,0
Medical doctors hate this discovery,0
Billionaire reveals secret conspiracy,0
This shocking truth changes everything,0
Big pharma doesn't want you to know,0
Conspiracy theorists prove flat earth,0
Ancient secret revealed by scientists,0
Shocking cover up exposed finally,0
Leaked document shows conspiracy,0
Government admits to secret program,0
Doctors hate this one simple trick,0
Billionaires fear this discovery,0
Media doesn't want you to see,0
Shocking truth about celebrities,0
This will change your life forever,0
